iter	Logloss
0	0.6816207426
1	0.6702194001
2	0.6588002264
3	0.6476594844
4	0.6372109416
5	0.6259086409
6	0.6157150408
7	0.6076521755
8	0.5977005329
9	0.5894571735
10	0.5812790905
11	0.5727156674
12	0.5642855934
13	0.5561904849
14	0.5491604401
15	0.5417545546
16	0.5345756038
17	0.527574343
18	0.5199635163
19	0.5126801642
20	0.5055621884
21	0.4994584891
22	0.4927591693
23	0.4869964158
24	0.4808760221
25	0.4747444719
26	0.4688673473
27	0.4631834956
28	0.457825244
29	0.4521828451
30	0.4467634918
31	0.4417021431
32	0.4367565265
33	0.4319365421
34	0.4275864735
35	0.4229211392
36	0.4184131477
37	0.4139750451
38	0.4096063977
39	0.4056702
40	0.4021026182
41	0.3985363431
42	0.395275684
43	0.3921071688
44	0.3887501164
45	0.3855272948
46	0.3825571308
47	0.379207136
48	0.3763139277
49	0.3733132263
50	0.3699018623
51	0.3669850809
52	0.3639472867
53	0.3613704379
54	0.359207891
55	0.3563811989
56	0.3533785703
57	0.3510031618
58	0.34823755
59	0.3456471554
60	0.3430310897
61	0.3406586533
62	0.3385834505
63	0.3363235652
64	0.3347024905
65	0.3328712478
66	0.3308539776
67	0.3290407711
68	0.3271415476
69	0.3251474179
70	0.3231442008
71	0.3212070255
72	0.3194960548
73	0.3175548376
74	0.3157460717
75	0.3140489132
76	0.3123139245
77	0.3108155068
78	0.3094821903
79	0.3080471502
80	0.3066049361
81	0.3051961989
82	0.3037330854
83	0.3022864064
84	0.3007639147
85	0.2995843467
86	0.2984487046
87	0.2971410612
88	0.2959842577
89	0.2947163923
90	0.2936223689
91	0.2924381063
92	0.2910546344
93	0.2897472307
94	0.2885957402
95	0.2874858293
96	0.2864022013
97	0.2854563497
98	0.2843369427
99	0.2835058882
100	0.2823489013
101	0.2815543315
102	0.2806936662
103	0.2796559061
104	0.278675415
105	0.277801677
106	0.2770269725
107	0.2760884702
108	0.2753276203
109	0.2745415863
110	0.2738365202
111	0.2732020326
112	0.2726058375
113	0.2718488524
114	0.2711734251
115	0.2703657169
116	0.26958753
117	0.2688880913
118	0.2683473569
119	0.2677202809
120	0.267056515
121	0.2663252093
122	0.2657258001
123	0.2651885588
124	0.2644891933
125	0.2638578288
126	0.2630699096
127	0.2624698674
128	0.2619484158
129	0.2612551787
130	0.2607820435
131	0.2600050414
132	0.2595158622
133	0.259042822
134	0.2583610807
135	0.2580307451
136	0.2577330809
137	0.2573724392
138	0.2567750862
139	0.2562361388
140	0.2559285489
141	0.2555681801
142	0.2550371305
143	0.2546210374
144	0.2541315288
145	0.2537678042
146	0.2534349993
147	0.2528176189
148	0.2524947138
149	0.2520531328
150	0.2515448678
151	0.2512537891
152	0.2508240489
153	0.2504518752
154	0.2500404146
155	0.2497128435
156	0.2494426913
157	0.2489823916
158	0.2486119653
159	0.2482857475
160	0.2477337524
161	0.247474088
162	0.2471856282
163	0.2467489876
164	0.2464139008
165	0.2461190713
166	0.2458284621
167	0.2454575258
168	0.2451822639
169	0.244848687
170	0.2446216883
171	0.2442695925
172	0.2439845619
173	0.2436503296
174	0.2432512602
175	0.2428547839
176	0.2424065854
177	0.2420782319
178	0.2417749687
179	0.2414609585
180	0.241244796
181	0.2410072015
182	0.2408332238
183	0.2406650587
184	0.2403794412
185	0.2400336267
186	0.239683761
187	0.2392630421
188	0.23911738
189	0.2386448796
190	0.2383132546
191	0.2380727473
192	0.2378497061
193	0.2375878398
194	0.2374482437
195	0.2370163246
196	0.2368487164
197	0.236684726
198	0.2365136294
199	0.2363268536
200	0.2360936531
201	0.2359680884
202	0.2358309633
203	0.2356137377
204	0.2355062423
205	0.2351844384
206	0.2349852986
207	0.2348428392
208	0.2346431789
209	0.2344670686
210	0.234200213
211	0.2340472909
212	0.2338751162
213	0.2336431319
214	0.2334426776
215	0.2332368656
216	0.2329337962
217	0.2327982453
218	0.2326521583
219	0.2324837911
220	0.232342629
221	0.2320557039
222	0.2318735896
223	0.2316195259
224	0.2315301025
225	0.2314386667
226	0.231197587
227	0.2310643697
228	0.230891618
229	0.2307921239
230	0.2306660982
231	0.2305921577
232	0.2304824161
233	0.2304192113
234	0.2302398789
235	0.2298646569
236	0.2297061719
237	0.229479556
238	0.2292184641
239	0.2290902268
240	0.2290026186
241	0.2289465073
242	0.2287580186
243	0.2286817824
244	0.2285038799
245	0.2283180549
246	0.2282294812
247	0.2281571566
248	0.228036304
249	0.2279799299
250	0.227900274
251	0.2277988632
252	0.227749724
253	0.2274753618
254	0.2273357992
255	0.2271602858
256	0.2270184854
257	0.2269135323
258	0.2267811293
259	0.2265844762
260	0.2264780809
261	0.2264227707
262	0.2263032807
263	0.2259835528
264	0.2258380073
265	0.2255769404
266	0.2253730602
267	0.2253098563
268	0.2251868245
269	0.2250927278
270	0.224960639
271	0.2248837051
272	0.2248329255
273	0.2247840446
274	0.2247164838
275	0.2246179671
276	0.2245346582
277	0.2244411397
278	0.2242821665
279	0.2242364683
280	0.2240617853
281	0.223999486
282	0.223929485
283	0.2238761596
284	0.223647832
285	0.2235581492
286	0.223373691
287	0.2233011523
288	0.223185769
289	0.2230583197
290	0.2229278725
291	0.2228236818
292	0.2227470653
293	0.2226740599
294	0.2226384693
295	0.2225713175
296	0.2225140302
297	0.2224244388
298	0.2223199851
299	0.2222206032
