iter	Passed	Remaining
0	22	6848
1	48	7265
2	61	6092
3	73	5404
4	84	5014
5	97	4759
6	110	4616
7	123	4494
8	134	4345
9	146	4261
10	159	4202
11	172	4138
12	185	4095
13	199	4078
14	212	4045
15	226	4012
16	239	3990
17	252	3958
18	265	3928
19	278	3899
20	291	3871
21	304	3844
22	316	3813
23	329	3787
24	341	3759
25	354	3735
26	367	3716
27	380	3692
28	392	3670
29	405	3653
30	418	3633
31	432	3619
32	445	3600
33	458	3585
34	470	3565
35	484	3551
36	497	3536
37	510	3517
38	523	3500
39	536	3487
40	549	3468
41	562	3453
42	575	3440
43	588	3424
44	601	3407
45	613	3390
46	626	3370
47	639	3356
48	651	3339
49	664	3322
50	677	3308
51	691	3296
52	706	3293
53	720	3284
54	735	3274
55	749	3267
56	763	3255
57	777	3242
58	792	3236
59	805	3222
60	819	3210
61	833	3198
62	847	3187
63	860	3171
64	872	3155
65	886	3142
66	900	3129
67	913	3118
68	928	3107
69	941	3094
70	956	3084
71	969	3071
72	984	3061
73	1001	3057
74	1016	3048
75	1030	3036
76	1044	3023
77	1058	3011
78	1071	2998
79	1085	2986
80	1099	2973
81	1113	2961
82	1128	2950
83	1141	2935
84	1154	2920
85	1168	2907
86	1182	2894
87	1195	2881
88	1210	2868
89	1223	2854
90	1236	2840
91	1250	2827
92	1264	2815
93	1278	2801
94	1291	2787
95	1305	2773
96	1318	2759
97	1332	2746
98	1346	2733
99	1359	2719
100	1372	2704
101	1385	2689
102	1398	2675
103	1411	2659
104	1424	2644
105	1437	2630
106	1451	2617
107	1464	2604
108	1477	2588
109	1490	2574
110	1504	2561
111	1517	2547
112	1531	2535
113	1546	2522
114	1560	2509
115	1573	2496
116	1588	2484
117	1602	2471
118	1615	2457
119	1629	2443
120	1641	2429
121	1654	2414
122	1667	2400
123	1680	2384
124	1693	2370
125	1706	2356
126	1718	2341
127	1732	2327
128	1745	2313
129	1758	2299
130	1771	2285
131	1783	2270
132	1797	2256
133	1811	2243
134	1824	2229
135	1837	2216
136	1851	2202
137	1864	2188
138	1877	2174
139	1890	2160
140	1904	2147
141	1916	2132
142	1929	2118
143	1942	2104
144	1955	2090
145	1968	2076
146	1981	2062
147	1994	2047
148	2006	2033
149	2019	2019
150	2032	2005
151	2044	1990
152	2057	1977
153	2070	1963
154	2084	1949
155	2097	1936
156	2111	1922
157	2124	1909
158	2136	1894
159	2149	1880
160	2161	1866
161	2175	1852
162	2188	1839
163	2200	1825
164	2213	1811
165	2226	1797
166	2239	1783
167	2251	1769
168	2265	1755
169	2278	1742
170	2291	1728
171	2304	1714
172	2317	1701
173	2330	1687
174	2343	1673
175	2355	1659
176	2368	1646
177	2381	1632
178	2394	1618
179	2406	1604
180	2418	1590
181	2431	1576
182	2444	1562
183	2458	1549
184	2471	1536
185	2483	1522
186	2496	1508
187	2509	1494
188	2522	1481
189	2535	1468
190	2549	1454
191	2562	1441
192	2577	1428
193	2591	1415
194	2606	1403
195	2619	1389
196	2633	1376
197	2646	1363
198	2660	1350
199	2674	1337
200	2687	1323
201	2700	1310
202	2713	1296
203	2726	1283
204	2739	1269
205	2752	1255
206	2766	1242
207	2779	1229
208	2792	1216
209	2806	1202
210	2819	1189
211	2833	1176
212	2846	1162
213	2860	1149
214	2873	1136
215	2886	1122
216	2898	1108
217	2911	1095
218	2923	1081
219	2937	1068
220	2949	1054
221	2962	1040
222	2974	1027
223	2986	1013
224	2999	999
225	3012	986
226	3024	972
227	3037	959
228	3049	945
229	3062	931
230	3075	918
231	3087	905
232	3100	891
233	3113	878
234	3127	864
235	3140	851
236	3154	838
237	3166	824
238	3179	811
239	3192	798
240	3204	784
241	3217	771
242	3230	757
243	3243	744
244	3255	730
245	3268	717
246	3281	704
247	3293	690
248	3306	677
249	3318	663
250	3330	650
251	3343	636
252	3356	623
253	3369	610
254	3381	596
255	3394	583
256	3407	570
257	3419	556
258	3432	543
259	3444	529
260	3457	516
261	3470	503
262	3483	490
263	3496	476
264	3508	463
265	3521	450
266	3534	436
267	3546	423
268	3558	410
269	3571	396
270	3584	383
271	3597	370
272	3610	357
273	3622	343
274	3634	330
275	3648	317
276	3660	303
277	3673	290
278	3686	277
279	3697	264
280	3710	250
281	3722	237
282	3734	224
283	3746	211
284	3759	197
285	3772	184
286	3785	171
287	3797	158
288	3810	145
289	3823	131
290	3835	118
291	3848	105
292	3861	92
293	3874	79
294	3887	65
295	3899	52
296	3911	39
297	3923	26
298	3935	13
299	3948	0
